Question,Tag
De memória RAM tem quanto?,especificacoes-tecnicas
Ja foi usado?,condicao
Esse celular e lacrado na caixa ou já te vi algum uso?,condicao
Quero comprar com cartao elo a vista como faço?,pagamento
A promoção vai voltar quando? Voltando efetuarei a compra,oferta
não tem provisão de promoção de novo? eu tava pronto pra comprar mas ai a promoção de 30% saiu,oferta
"Volta o valor para $3150.00 que fecho 2 com vocês ,comprei com vocês um A51 dia 20/3 e um iPhone xr 128 29/3 se voltar o valor compro no ato 2 unidades.",oferta
"Vai voltar o valor de $3150,00 ?  Se sim efetuarei a compra",oferta
Volta no valor promocional do dia 29/2 que compro 2 unidades $3150.00,oferta
"CUIDADO AO COMPRAR NESSA LOJA! Comprei semana passada esse celular, tinha mais de 1.000 no estoque, depois que paguei o boleto cancelaram a compra alegando que não tinha mais o produto. Agora voltaram com 800 reais a mais no valor. Cuidado ao comprar para não perder seu dinheiro.",estoque
Vocês entregam para  uarini am????   Boa tarde...,entrega
Vocês aprovam o pagamento assim que a compra é finalizada ?!,pagamento
"Boa tarde, se fizer a compra hoje qual o prazo do envio?",entrega
"Efetuei a compra e já foi confirmada, qual prazo pra postarem nos correios?",entrega
Bom dia! Efetuei a compra por boleto. Altera o prazo de entrega?,entrega
"Boa tarde, o produto é lacrado e original ? Tem na cor branca ? Obrigado, no aguarde !",condicao
Boa tarde estou tentando comprar mas o valor do frete eo mesmo do produto! oque faço?,frete
"E o valor do frete q aparece,3099 Isso está errado certo",frete
Bom dia! Vocês tem whatsapp? estou falando com um número aqui que vocês deram nas perguntas anteriores e eles informaram que fariam desconto pelo boleto sim.. queria confirmar se são voces mesmo pois por aqui voces falaram que nao dariam desconto pelo boleto,contato
Por quê o Frete está R$ 3.099? (Muito Caro)!,frete
Tem outras cores? Aparelho original e lacrado? Envia em qtos dias?,cor
Bom dia! Como estão as entregas? serão feitas pela transportadora? CEP 23017-390,entrega
Tem mais desconto pagando a vista?,pagamento
A entrega e feita via transportadora ou correios?,entrega
Comprando hoje qual o prazo de envio?,entrega
"Ola, consegue chegar ao valor de 2.800,00 para 6 a 10 peças ?",oferta
Esse preço é até quando ?,pagamento
Vai até um dia específico essa preço ?,pagamento
Faz 4 dias que estou tentando  comprar e só da compra recusada,pagamento
Por que o frete está o valor do celular ?,frete
"É que só o frete fica 185,00 aí acaba ficando mais caro que nos outros lugares, pois pagaria à vista",frete
"Oi, minha amiga tem interesse em um também, conseguiria um bom desconto para a compra de 2?",oferta
"Bom dia, eu fiz a compra ontem, será postado hoje? Att",entrega
"Boa noite! A compra inclui tudo na caixa(fone, carregador) ou apenas o celular?",acessorios
"Boa noite.  A compra inclui a caixa com fone, carregador ou apenas o celular?",acessorios
"Boa noite. Os fretes de todos os aparelhos de você está ficando no mesmo valor que o próprio aparelho. O frete deste aparelho, por exemplo, está no valor de R$3.099,00. Isto está correto ou será ajustado? Estou querendo fazer a compra pois o preço está bom.",frete
Tem zap pra contar?,contato
Teria o xr 128fb na cor branca com frete grátis e sem juros? Pra comprar hoje !,cor
"Sim , Porque ha tempo atras estava com 30 % da fast mas agradeço esperarei novamente",oferta
Ha possibilidade mais frente do desconto de 30% voltar  ?,oferta
Boa tarde. Vem com nota fiscal ? Qual seria o CEP pra 71919540 ?  Há possibilidade de pagamento: 2 mil em boleto e o restante no cartão de crédito?,nf
Qual o tempo de despacho,entrega
Aumentou o preço de ontem para hoje ?,pagamento
O iPhone é original?,original
entendeu vcs me garante que esse produtor nao e replicar,original
tem acor vermelha,cor
pelo o valor desse iphone rx ele eoriginal ou replica ? porq esta muito barato,original
boa tarde tem como eu pagar todo pelo boleto o telefone,pagamento
Quantos por cento de desconto  tem tá dizendo que tem 40 por cento no mercado livre,oferta
Mas vc dividem no boleto?,pagamento
Bom dia. Ainda tem o modelo azul? Pergunto porque no anúncio do XR azul não é possível fazer perguntas,cor
Vcs fazem no boleto? Aguardo retorno  Obrigada.  Elizabeth Stockler,pagamento
"bom dia, vc tem ele a pronta entrega em alguma loja de curitba?",entrega
Eu já comprei pode mandar o código de rastreio?,entrega
So teria na cor branco?,cor
Amigo qntos dias leva para chegar por causa  da epidemia,entrega
Que garantia tenho que não é golpe?,original
Esse produto é original?,original
Obrigada,agradecimento
Bom dia é original? 2 Chips?,original
Pena que o frete é um absurdo,frete
Que absurdo de frete,frete
"R$ 524,85 o frete pra Norte?? ta de brincadeira né ?! kkkk",frete
"E por que o frete para o cep 57035-590 é tão caro, quase R$ 210,00??",frete
Boa noite consigo pagar mais de um cartão tipo 2 cartoes,pagamento
É  novo?,condicao
É  original? Tem nota fiscal?,original
"boa tarde, faz 3000 à vista?",oferta
E lacrado?,condicao
Pronta entrega ? Divide em dois cartões ?,oferta
Boa noite! Daria pra fazer frete grátis?,frete
Vem com nota fiscal?,nf
"Ok vou fechar a compra, obrigado",agradecimento
Consegue fazer brinde pelicula e capinha? Ai ja fecho a compra,brinde
"Boa tarde, consegue melhorar um pouco o preço? ja quero fechar a compra com voces",oferta
E o funcionamento está todo Ok? Biometria? Botão? Tela sem riscos?,condicao
"Ok. Mas se você vai adicionar fotos, aguardarei para ver. Obrigado",fotos
Ok. Só gostaria de ver qual a intensidade das marcas antes de realizar a compra.,condicao
Qual a intensidade dessas marcas de vitrine? Consegue mandar uma foto?,condicao
Faz 1800?,oferta
Você ainda envia a capinha e a película de brinde?,brinde
"Boa tarde, você ainda tem o modelo Rose Gold disponível? Ele é novo e lacrado? A nota fiscal vem em nome do comprador? Está enviando normalmente ainda durante a quarentena?",condicao
Ainda tem??,estoque
você teria um preço melhor para revenda?,oferta
Nota fiscal no nome do comprador?,nf
Tem 64giga,especificacoes-tecnicas
"Bom dia, vocês tem quais cores disponíveis?",cor
"Boa noite esse iPhone é original, pega todas operadoras",original
Tem  resistência à água,especificacoes-tecnicas
Vem lacrado com plástico?,condicao
Paguei com  cartão....,pagamento
Qual chance de entregar amanhã?,entrega
"Estou em Campinas, qt tempo?",entrega
Posso retirar hoje ainda as 16h?,entrega
"Bom dia, então capinha e película de brinde nem pensar?",brinde
o q vem na caixa e o q é o brinde?,brinde
Ele é original e lacrado?,original
O carregador dele é na versão Brasileira ou dos EUA?,acessorios
Tem disponível?,estoque
O fone de ouvido vem na cx,acessorios
Se comprar hj recebo quando?,entrega
Vc tem cinza espacial,cor
Você tem gold versão 128 giga?,cor
Quanto de memória Ran,especificacoes-tecnicas
Olá a tela e 4.7,especificacoes-tecnicas
Se eu comprar hoje só depois da epidemia vou receber?,entrega
Rezemos pelo fim dessa epidemia,agradecimento
"Ok, boa tarde",agradecimento
"Ok, irei comprar. Será postado na segunda?",entrega
"Boa tarde, o celular é novo?",condicao
Quantos dias pra entregar,entrega
Vc tem ele 64gb ou não iguais cores vc tem,especificacoes-tecnicas
Boa noite ! Tem preto ou cinza ?,cor
Ok e obg. Já fiz a compra. Boa noite!,agradecimento
Boa noite!  Só mais uma dúvida. Você disse que vai postar amanhã. Aí vc me passa o código de rastreamento? Obg,entrega
Entendi. Mas vai ficar puxado pra mim. Mas agradeço,agradecimento
Faz sem juros?,pagamento
Comprei o meu semana passada tou esperando chegar,entrega
Vcs parcela no boleto?,pagamento
Beleza vou ver ele aqui,agradecimento
É um presente,agradecimento
Posso ir retirar com vocês comprei pelo MercadoLivre e retirei com vocês na loja ou vocês colocam no envio mesmo,entrega
Se comprar ele hoje chega amanhã vocês são de onde,entrega
Boa tarde beleza queria saber sobre o iPhone,especificacoes-tecnicas
Acho que consegui obrigado,agradecimento
Quero de aniversário,agradecimento
Por favorzinho,agradecimento
Não sei colocar o CEP,frete
vem com nota fiscal??? quanto tempo n de garantia?,nf
O produto é novo? Tem garantia?,condicao
Teria na cor vermelha?,cor
É desbloqueado para uso no Brasil?,especificacoes-tecnicas
boa noite este aparelho e omologado pela anatel,especificacoes-tecnicas
Os acessórios são realmente originais?,acessorios
Tem o cinza???,cor
"Eu ia efetuar a compra, mas ele aumentou 200 reais do que estava hoje a tarde",pagamento
Gostaria de saber saber se esse aparelho tenhe algun arranhão?,condicao
Bateria 100%?,especificacoes-tecnicas
"Boa tarde, fazem em 2 cartões?",pagamento
vocês que ficam responsáveis pela análise do pagamento?,pagamento
Voce tem em outra cor?,cor
Esse equipamento é usado? A bateria tem quantos%,condicao
"Boa tarde, tem o rose disponivel? Vem com todos os acessorios originais? É em estado de novo?",cor
"Voces tem em outra cor? Qual o menor preço? Já tenho no mercado pago disponível R$ 1949,99.",cor
"Gostaria de comprar um rose, qual a saúde da bateria dele?",condicao
tem a pronta entrega? qual o estado do aparelho apresenta riscos?,entrega
Tem possibilidade de me enviar uma foto do IPHONE 8 PLUS ?,fotos
faz 2450 no cartao parcelado?,oferta
Vou efetuar a compra do 8plus Rose gold me manda o melhor que vc tiver ok,condicao
Será que tem riscos ou marcas de uso?,condicao
"Boa tarde, o aparelho é novo?",condicao
Ok. Vou fazer a compra com meu endereço mesmo. Obg,agradecimento
Ok. Vou fazer o pagamento com cartão de crédito.,pagamento
É original?,original
Frete é grátis,frete
Boa tarde. Ainda está disponível esse modelo?,estoque
Boa noite! Está enviando normalmente??,entrega
boa noite e enviado apos o pagamento,pagamento
Boa noite gostaria de saber se posso efetuar a compra com 2 cartões de crédito???,pagamento
Ele vem tudo certinho?,acessorios
Faz esse preço em 12x sem juros pfv moço,pagamento
Olá desculpa a pergunta é 100% original né esse celular,original
O carregador dele é padrao brasileiro??,acessorios
É recondicionado??,condicao
Tem ele lilás?,cor
Boa noite tem a pronta entrega,entrega
Boa tarde efetuando a compra hj vcs me enviam quando ele vem lacrado?,entrega
"Boa tarde celular e novo , original com garantia ?",condicao
"O envio está sendo feito normal? irei realizar a compra agora, qual o tempo estimado para envio do rastreamento?",entrega
Vocês estão enviando normalmente os produto? Aqui do mercado livre pq comprei 1 produto n fui respondido até agr na pergunta do alto da compra,entrega
"Pela resposta abaixo, obrigado; Já comprei deste mesmo Iphone, no Shoptime pela quantia de R$ 2.300,00, com frete grátis; Att,",agradecimento
Qual a.memoria ram deate aparelho ?,especificacoes-tecnicas
"Faz pre¿o do site da Fast Shop: R$ 2.499,00, mais frete gr¿tis, da¿ comprarei 01 Aparelho deste, para pagar em 03 vezes de R$ 833,00?",oferta
Porque o frete custa 999?,frete
E ESTE FRETE CARISSIMO !!!!,frete
Tem garantia?,garantia
"Boa noite .,, o celular vem com carregador original, caixa, chave e fone de ouvido???",acessorios
"Se alguém me respondesse, ou o telefone não parasse de dar ocupado .",contato
"Boa tarde, fiz a compra ontem e gostaria de saber a data da postagem.",entrega
"boa tarde, o produto vem com o fone de ouvido?",acessorios
Olá! Porque o valor do produto com o valor do frete dobra o valor? 2339 + 2339 = 4.678 é esse o valor correto?,frete
"Desculpa, é que estou esperando uma resposta desde ontem.",agradecimento
Quanto tempo de garantia?,garantia
"Boa tarde, acompanha carregador e fone ?",acessorios
"Boa tarde! Estou precisando com urgência de um aparelho, teria como enviar para ser entregue ainda essa semana?!",entrega
O frete é pago junto as parcelas? Ou em boleto?,frete
"boa noite, est¿o fazendo a entrega por conta da quarentena?",entrega
"Boa tarde, você parcela no boleto?",pagamento
São  novos?,condicao
boa tarde ele é novo original com nota fiscal e garantia ? Vem todos os acessórios original ?,condicao
O aparelho é novo?,condicao
Tem na cor vermelho red,cor
Ok compro como pessoa fisica...ai o frete fica em 7 mil reais..vc acha isso correto?7 mil,frete
"bom dia, colega preciso comprar 16 peças para minha empresa, porem o frete esta dando incríveis 7 mil reais...como fazemos?",frete
"queria saber se não têm vergonha em cobrar Frete R$ 377,85 de frete no produto. nem se fosse ou viesse  pra/da australia o frete seria esse valor",frete
"Boa tarde, se tiver a Cor vermelho disponivel, me mande o anuncio por favor.",cor
Olá não tem como enviar com o frete grátis?,frete
consigo parar com dois cartões?,pagamento
Este iphone 8 e novo !,condicao
"Qual  modelo dele, é importado?",especificacoes-tecnicas
Boa tarde!! Disponível na cor “Vermelho”?,cor
"Boa noite, a entrega é feita via correios?",entrega
Vocês dividem de mais vezes no cartão não?,pagamento
tem selo da Anatel????,condicao
Vocês trabalham em que cidade ?,entrega
Boa tarde.. esse produto ainda está disponível?,estoque
E original esse produto,original
"Olá! Tudo bem?  Por favor, devido ao corona o produto chegará de fato dia 01 como mostra o anúncio ou está tendo atrasos muito longos?",entrega
Tem na cor preto com esse mesmo valor ??,cor
"Ola, se eu comprar posso ficar tranquilo a respeito da entrega em relação a pandemia?",entrega
"Já mandei várias mensagens, mas vcs não respondem.",agradecimento
"olá, o produto é original?",original
Vem completo? Com carregador e fone?,acessorios
Após a compra o celular e postado que dia ? Sob a prazo de entrega teria outro meio que fosse mais rápido ? Por este anúncio chega a quase um mês de preza para entregar ¿,entrega
pega qualquer chip ne ? desculpe as perguntas porque estou analisando tudo !,especificacoes-tecnicas
Boa noite vem com nota fiscal  em meu nome ?  1 ano de garantia pela Apple? Vem com carregador e fone ? Vendido pelo Fast shop?,acessorios
Tem iPhone 11 branco?,cor
Muito obrigado ¿¿,agradecimento
Desculpe o transtorno ! Garantia pela Apple?,garantia
Qual o número para contato?,contato
Posso passar em 2 cartões?,pagamento
bom dia! quanto para enviar por sedex? cep 99010-200. grata,entrega
Preciso de ajuda estou tentando comprar já tem uns 3 dias mas o cep não dá certo oque eu faço? Já comprei muito no ml mas só pra esse aparelho que não dá ...,entrega
"Produto novo, original e lacrado? Vem nota fiscal?",condicao
Não estou conseguindo fazer a compra ... tá dando zebra na hora de colocar o cep,frete
Oi não consigo ver quanto vai sair o frete  Se eu comprar agora consegue despachar ele amanhã ?,frete
"Olá, tem branco 128gb?",cor
Tem em estoque ainda?,estoque
Bom dia se eu efetuar a compra hoje você sabe qual o dia da pra me enviar ?,entrega
"Olá, tem o xr de 128gb branco?",cor
Envio imediato?,entrega
So tem Branco e,cor
"Já efetuei com vcs a compra do preto, obrigado",agradecimento
Pq o frete é tão caro?,frete
"Oi, tem vermelho desse modelo?",cor
é novo lacrado?,condicao
é novo lacrado,condicao
Então não consigo dar uma entrada maior e parcelar o restante em 10x?,pagamento
"Olá, Gostaria de saber se consigo dar uma entrada e dividir o restante",pagamento
E compatível com Apple watch série 3 38mm?,especificacoes-tecnicas
Tudo original  ?,original
Esse valor de $699 do iPhone 5 preto dividi em 12 parcelas no cartão?,pagamento
Aínda tem iPhone 5 prá vender? Tem o cor prata?,cor
Gostaria de saber se o celular é usado,condicao
Vem com carregador?,acessorios
Boa noite este celular é original,original
Teria de 32g?,especificacoes-tecnicas
Amigo preciao de 5unid dispoe?,estoque
Ainda tem pra venda?,estoque
Qual tamanho da tela?,especificacoes-tecnicas
Posso fazer a compra ?,pagamento
Olá ainda tem ? Tudo ok ?,estoque
Tem cor ouro,cor
"Vou comprar um cinza pra fazer o teste se vir top com quase sem marcas de uso e película, compro outro rosa pra minha amante! Blz?",cor
Boa tarde esse telefone e novo ou usado,condicao
Irei efetuar a comprar manda um com saúde da bateria excelente!,condicao
Se comprar consegue enviar hoje?,entrega
Vem carregador original?,acessorios
Bom dia!! Qual a saude da bateria? Como garantir que a minha venha acima de 85%?,condicao
Tem fotos?,fotos
Ele liga?,condicao
Tem a pronta entrega ?,entrega
Pq não vem com fone?,acessorios
Ainda está tendo disponível o aparelho ?,estoque
tão fazendo entrega mesmo com essa pandemia ?,entrega
Ainda está disponível?,estoque
"Boa noite ! Tem rose ? E quantos gigas e saúde da bateria ?  Alguém detalhe como quebrado , amassado ? Aceita devolução no caso de algum problema ?",condicao
Vem com carregador original?,acessorios
"Bom dia, você parcela?",pagamento
Só tem na cor Rose?,cor
o tamanho dele é isso aqui mesmo que a gente vai na foto!,especificacoes-tecnicas
Vende por 1.000?,oferta
Qual é o tamanho da tela,especificacoes-tecnicas
"Já resolvi, obrigado",agradecimento
Qual o nível de saúde da bateria?,condicao
Esse celular é usado ? Oq acompanha junto dele ?,condicao
Tive um problema,agradecimento
Qual são as cores disponíveis?,cor
"Olá, ele está funcionando perfeitamente? Vem na caixa com fone e carregador?  Lacrado?  Se tiver problema dá pra trocar?",condicao
A naoooo eu quero muito um.iphone vcs dao brindes?,brinde
So tenho 1100,oferta
Eu quero ele vc n faz fretes grátis?,frete
Tem garantia de quantos dias?,garantia
Bom dia! Qual o tamanho da tela?,especificacoes-tecnicas
Impressão digital funciona?,condicao
Bota frete grátis pra Floresta-PE que eu compro,frete
Pega biometria?,condicao
Faz um desconto sem os acessórios?,oferta
Possui arranhão e o que vem com o celular?,condicao
E tem 64 gb?,especificacoes-tecnicas
E novo,condicao
E o plus 2cameras,especificacoes-tecnicas
Olá bom dia tem prata pronta entrega?,entrega
Vcs não vendem garantia estendida deste produto,garantia
Boa noite??  Qual a vida util da bateria e  o aparelho e usado apenas  para  vitrine ou outras finalidades?  Atenciosamente,condicao
Tem quais cores?,cor
"Oi td bem queria saber se vc faz 1,800  a vista",oferta
Este iPhone está funcionando bem  ? Tem garantia?,condicao
bateria?,condicao
Ok entendi! Se eu finalizar a compra amanhã consigo retirar quando ?,entrega
Olá consigo retirar em mãos ? Tem Loja física ?,entrega
Qual tamanho da tela ?,especificacoes-tecnicas
tem como fazer frete gratis aqui esta cobrando 36 reais,frete
tem como mandar com carregador original?,acessorios
Queria comprar com 2 cartões tem como?,pagamento
De onde você é?,contato
tem algum ae ate 1500 avista,oferta
Parcela no boleto ?,pagamento
Boa tarde esse acessório ainda está disponível?,estoque
Qual local posso pegar com vc e quando?,entrega
Posso retirar o produto com vc?,entrega
Boa noite ainda está disponível?,estoque
"Boa tarde Aparelho original, na caixa com todos acessorios e garantia da apple?",condicao
"Nem 1900,00?",oferta
"Por 1850,00 eu faço a compra agora",oferta
Olá Esse iPhone foi usado ou só vitrine,condicao
"O iOS instalado nele e o iOS 9 mesmo pois eu estou procurando com esta versão do iOS , não me serve se tiver  sido atualizado para outra versão",especificacoes-tecnicas
Ele nunca foi usado não né amigo?,condicao
Você não consegue verificar a saúde da bateria? O carregador é original?,condicao
Obrigado rs.,agradecimento
A saúde da bateria está em quantos?,condicao
"Oi boa tarde, vem com os acessórios originais?",acessorios
faz entrega normalmente? nesse tempo de pandemia?,entrega
"Os acessórios são originais,ou paralelos?",acessorios
Tenho interesse. Seria possível eu ver foto? Queria para presentear.,fotos
Não é usado né? Apenas vitrine?,condicao
Ola vem na caixa com acessórios? Tem o selo da anatel?,acessorios
"Quero comprar, tem fotos reais do aparelho?",fotos
Pode me enviar um com 100% de vida útil de bateria?,condicao
As entregas estão normal devido a epidemia?,entrega
Digita funciona?,condicao
"Após a compra, o envio é no mesmo dia? Digital funciona?",entrega
Olá! Efetuando a compra e aprovada pra vocês. Qual o prazo pra envio?,entrega
Olá! Efetuando a compra é possível retirar em mãos no mesmo dia em que confirmar o pagamento? Vcs ficam em Cotia?!  Meu celular quebrou e preciso substituir urgente.,entrega
Boa tarde  Faz na troca d um Apple Watch série 3 com 4 pulseiras sem detalhes com cx carregador prata,oferta
Ainda desse produto tá disponível?,estoque
Oi boa tarde! O celular é original? E estar a disposição para entrega?,condicao
"Tem garantia, liberado todas operadoras, saúde da bateria, 4g, iclod liberado ???",garantia
Qual a saúde da bateria? O iCloud tá liberado? Vem com a caixa e os acessórios? Tem garantia?,condicao
Eu posso retirar? Poderia me passar tel p contato?,contato
tem a pronta entrega?,estoque
Amigo ainda tem?,estoque
Posso dar uma entrada de 800 e dividir o restante no cartão??,oferta
IPhone em perfeito estado?,condicao
Bom dia  Tem a pronta entrega ainda ?,estoque
"Comprei o preto ontem, e no anúncio já está um prata, como faço??",cor
E de quantos centímetros,especificacoes-tecnicas
O produto possui algum defeito?,condicao
Como posso entrar em contato pra saber mais sobro o produto ?,contato
Vem nota fiscal ?,nf
"Boa noite Qual a condição ? Excelente, muito bom ou bom?",condicao
"Boa Noite, tem como pagar no boleto e passar o resto no cartão?",pagamento
"Comprei no boleto, vou pagar amanhã mas só tem 2 unidades, vou perder??",estoque
Gostei. Se fechar por 3500 eu levo,oferta
Tem filmadora 4K?,especificacoes-tecnicas
Amanhã então já compro o MEU,agradecimento
Não tem como manda um que tenha. A saúde 100%?,condicao
É seguro?,condicao
Vem na caixa?,condicao
Você tem ele com 100% de bateria ?,condicao
Qual e o prata e o mesmo valor?,cor
Este produto está disponível? Só tem dessa cor?,cor
"Olá! Efetuando a compra e conformando o pagamento, posso retirar em mãos no mesmo dia? Meu cel quebrou e preciso repor urgente.",entrega
É de confiança quem vem??,condicao
tem como arruma o carregado original?,acessorios
Como esta a estética,condicao
todas cores estão disponíveis ?,cor
Ainda o produto está a venda?,estoque
Tá tendo ?,estoque
Tem algum aparelho com bateria 100%?,condicao
Vem com caixa ?,acessorios
"Queria saber o estado da bateria, se tem muitos arranhados. E quanto tempo demora para 37925000 frete expresso",condicao
Demora quanto tempo pra chega,entrega
"Boa tarde, Por favor fecha em 900,00 pra eu fechar agora?",oferta
Vem pelo menos com o carregador?,acessorios
Consigo retirar sou de Barueri,entrega
Vem carregador e algúm tipo de brinde?,brinde
Quanto tempo de uso?!,condicao
Os aparelhos vem com nota fiscal?,nf
"Bom dia, quais são as cores disponíveis??",cor
Quanto tempo de uso?,condicao
Agradeço!,agradecimento
"Ola boa tarde, eu queria comprar pois eu queria passar dois cartao tem como?",pagamento
Funciona tudo?,condicao
Ok obrigada,agradecimento
N é falsificado né?!,original
Já foi concertado?,condicao
"Ola, é original?",original
Qual as cores que vc tem disponível,cor
Não acompanha fone e carregador,agradecimento
Olá gostaria de saber se vcs tem iPhone 6 a pronta entrega,estoque
Ola? Qual as condicoes do aparelho ?,condicao
Cartão de crédito,pagamento
Efetuei a compra,agradecimento
"Tem pronta entrega, série ouro",estoque
Faz 5.200?,oferta
Ele vem lacrado na caixa?,condicao
"Boa tarde , vc tem ele na cor branca?",cor
"Esse valor é negociável? O meu cartão tem limite de 5000,00. Se fizesse por esse valor, eu comprava agora. Grata!",pagamento
esta disponivel/?,estoque
Ele é a prova d’água?,especificacoes-tecnicas
O produto vem lacrado? Qual a porcentagem da saúde da bateria?,condicao
Quais acessórios?,acessorios
É a prova d'agua?,especificacoes-tecnicas
"Boa noite. ¿ novo, lacrado? Emite Nota Fiscal?",nf
"Bom dia.   É novo, original com NF?",nf
BOA TARDE. TEM O SILVER OU SPACE GREY,cor
"É ORIGINAL. LACRADO, DESBLOQUEADO, GARANTIA APPLE? TEM NA COR SILVER OU SPACE GREY?",cor
produto vem com nota fiscal?,nf
Você vende a capinhas também?,acessorios
O que acompanha o celular?,acessorios
E e original? Posso efetuar devolução até quantos dias depois da entrega?,original
É lacrado?,condicao
tem nf ??? e selo da anatel ???,nf
Olá envia para tô grande do Sul?,entrega
Faz envio para o cep 53370-170?,entrega
